month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2023-06,Connecticut,8461,588,5038,1912,2753,0,0,0,0,0,0,0,0,0,0,0,0,0,468,145,84,0,0,0,19449
2023-06,Delaware,1151,0,2004,792,91,85,0,0,0,0,24,7,0,159,0,0,0,0,48,17,1,0,0,0,4379
2023-06,District of Columbia,1003,0,271,6,0,4,9,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,1317
2023-06,Florida,11470,0,58766,20981,4863,3213,0,6,2,0,3812,802,7,1511,122,3,0,0,246,140,57,63,36,0,106100
2023-06,Georgia,10906,0,16292,7548,932,790,0,26,7,1,2225,707,20,74,0,0,0,0,13,10,0,0,0,0,39551
2023-06,Guam,0,0,155,84,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
2023-06,Hawaii,1793,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1797
2023-06,Idaho,8552,94,5006,4368,520,306,0,3,1,0,290,245,2,94,7,8,0,0,5,6,0,0,1,0,19508
2023-06,Illinois,243305,4,19399,7913,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271382
2023-06,Indiana,374,24117,17712,9939,1512,904,1,8,0,0,900,311,39,63,4,0,0,0,36,19,7,2,1,0,55949
2023-06,Iowa,3162,3224,2051,1987,138,52,2,1,0,0,32,19,1,58,6,2,0,0,0,1,0,0,0,0,10736
2023-06,Kansas,1995,34,5275,3913,576,395,0,1,3,0,439,185,2,103,11,0,0,0,2,8,4,0,0,0,12946
2023-06,Kentucky,743,316217,9015,6134,502,547,9,12,4,0,1558,827,4,38,13,1,0,0,12,17,3,0,0,0,335656
2023-06,Louisiana,1928,475,9389,5236,729,515,1,5,1,0,899,419,9,0,0,0,0,0,9,7,2,0,0,0,19624
2023-06,Maine,403,4,3253,3112,261,220,1,0,0,0,73,83,0,29,12,0,0,0,8,3,0,0,0,0,7462
2023-06,Mariana Islands,0,0,19,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2023-06,Maryland,7787,25,8844,4725,110,3,0,0,1,2,122,77,2,119,26,11,0,0,0,12,3,0,0,0,21869
2023-06,Massachusetts,7878,0,4408,2335,1170,192,2,1,0,1,11,6,1,0,0,0,0,0,34,20,7,1,1,0,16068
2023-06,Michigan,16807,6478,17696,12108,1626,748,0,0,3,1,27,193,7,62,13,2,0,0,26,13,2,1,1,0,55814
2023-06,Minnesota,10966,31604,8093,7179,868,490,0,1,1,0,191,164,1,107,25,2,0,0,7,20,2,1,0,0,59722
2023-06,Mississippi,2306,0,7655,4253,421,358,1,13,5,0,1632,686,2,16,0,0,0,0,6,2,0,0,1,0,17357
2023-06,Missouri,706,123,16411,11306,1587,1091,0,8,2,3,1410,618,23,450,47,2,0,0,30,21,8,0,1,0,33847
2023-06,Montana,863,3,3876,3735,301,379,13,2,0,0,414,354,0,53,20,1,0,0,3,2,1,1,0,0,10021
2023-06,Nebraska,3697,101,131,1241,19,11,0,0,0,0,0,21,0,35,5,1,0,0,0,2,0,0,0,0,5264
2023-06,Nevada,2073,0,4703,2261,357,289,0,1,1,0,245,46,1,0,0,0,0,0,308,137,15,0,1,0,10438
2023-06,New Hampshire,1083,1,5031,2680,453,0,118,0,0,0,0,8,0,118,10,14,0,0,0,0,0,0,0,0,9516
2023-06,New Jersey,0,0,7530,3387,863,0,0,0,0,0,0,0,0,1,1,0,0,0,136,50,5,1,4,0,11978
